date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:59:09	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jan%202025%2017:29:08%20GMT	https://joinergo.com/robots.txt		(from )
22:59:10	43756/43756	---MCZ	200	added ('OK')	text/html	etag:W/%220b450eb27a0033f4ad0d4c5e4c4c1e35%22	https://joinergo.com/	./example-site/joinergo.com/index.html	(from )
22:59:10	9268/9268	---M--	200	added ('OK')	image/png	etag:%224d70deab94b5005058d56647d601a7ef%22	https://joinergo.com/apple-touch-icon.png	./example-site/joinergo.com/apple-touch-icon.png	(from https://joinergo.com/)
22:59:11	1385/1385	---M--	200	added ('OK')	image/png	etag:%22fa3db8966939709b6f005858014f7d4c%22	https://joinergo.com/favicon-32x32.png	./example-site/joinergo.com/favicon-32x32.png	(from https://joinergo.com/)
22:59:12	687/687	---M--	200	added ('OK')	image/png	etag:%2287fd2782e3250d9555a1ccf3125edf04%22	https://joinergo.com/favicon-16x16.png	./example-site/joinergo.com/favicon-16x16.png	(from https://joinergo.com/)
22:59:13	271/271	---M--	200	added ('OK')	application/manifest+json	etag:%2252e1ee1b374d0c7b551ebe38cea063b9%22	https://joinergo.com/site.webmanifest	./example-site/joinergo.com/site.webmanifest	(from https://joinergo.com/)
22:59:14	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jan%202025%2017:29:14%20GMT	https://joinergo.com/safari-pinned-tab.svg	./example-site/joinergo.com/safari-pinned-tab.4.delayed	(from https://joinergo.com/)
22:59:15	11927/11927	---M--	200	added ('OK')	image/png	etag:%22b60b5562f55163821552d1c7d8bd2d0e%22	https://joinergo.com/newergofull.png	./example-site/joinergo.com/newergofull.png	(from https://joinergo.com/)
22:59:16	27636/27636	---M--	200	added ('OK')	image/png	etag:%22319124986c5b60780e17cb057fb11b22%22	https://joinergo.com/YCombinator.png	./example-site/joinergo.com/YCombinator.png	(from https://joinergo.com/)
22:59:18	4330/4330	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2229e3bed633167a81ea4b835ed394fd93%22	https://joinergo.com/delvelogo.svg	./example-site/joinergo.com/delvelogo.svg	(from https://joinergo.com/)
22:59:18	30002/30002	---M--	200	added ('OK')	image/png	etag:%224fda30700e13be6e41e2b8041dacc034%22	https://joinergo.com/transparentlogo.png	./example-site/joinergo.com/transparentlogo.png	(from https://joinergo.com/)
